month,day,neighborhood,crosswalk_wait_sec,litter_density_per_100m2,midnight_noise_db,atm_queue_length,vacant_storefronts_pct,dog_walk_freq_per_hr,graffiti_turnover_days,stress_index
Jan,28,Chromepet,40.63,6.19,62.1,2.2,14.7,0.78,11,Med
Jan,28,Kodambakkam,30.24,4.92,58.9,2.1,10.5,0.86,9,Med
Jan,29,Korattur,44.28,9.46,68.1,3.5,17.4,0.46,18,High
Jan,29,Velachery,25.99,3.25,55.5,2.2,8.8,1.37,5,Med
Jan,29,Adyar,20.11,1.55,48.2,0.8,4.5,2.24,3,Low
Jan,29,Ambattur,51.16,12.27,62.4,4.2,25.3,0.17,30,High
Jan,29,Nungambakkam,25.64,2.42,50.9,1.1,6.2,1.89,3,Low
Jan,29,Perambur,46.14,6.48,60.6,3.6,17.3,0.7,15,Med
Jan,29,Mylapore,28.58,2.66,58.4,1.2,7.4,1.88,5,Low
Jan,29,Sholinganallur,32.94,5.17,57.6,2.5,11.1,0.83,11,Med
Jan,29,Tondiarpet,59.76,11.67,61.4,3.6,19.1,0.28,29,High
Jan,29,Anna Nagar,23.49,1.86,53.5,1.1,5.3,2.33,3,Low
Jan,29,Chromepet,32.84,5.78,56.3,2.4,14.6,0.98,11,Med
Jan,29,Kodambakkam,30.85,4.13,55.3,2.5,9.7,1.16,7,Med
Jan,30,Korattur,48.6,8.03,60.2,3.1,19.9,0.41,21,High
Jan,30,Velachery,26.71,4.32,54.9,2.0,9.7,1.02,7,Med
Jan,30,Adyar,20.1,1.72,49.6,0.8,4.0,2.72,2,Med
Jan,30,Ambattur,63.89,11.78,67.7,4.0,23.2,0.23,27,High
Jan,30,Nungambakkam,25.05,1.98,50.0,1.2,6.5,2.34,3,Low
Jan,30,Perambur,48.44,6.05,66.9,2.7,16.2,0.71,12,Med
Jan,30,Mylapore,28.68,2.63,58.5,1.2,8.0,1.74,5,Low
Jan,30,Sholinganallur,33.43,4.6,57.4,2.7,11.0,0.92,8,Med
Jan,30,Tondiarpet,54.34,10.5,65.1,4.6,20.9,0.26,25,High
Jan,30,Anna Nagar,21.9,2.09,49.4,1.3,5.3,1.78,3,Low
Jan,30,Chromepet,37.57,6.01,58.4,2.7,13.2,0.76,9,Med
Jan,30,Kodambakkam,27.95,4.67,55.7,2.4,10.4,0.99,8,Med
Feb,1,Korattur,43.04,7.6,59.6,3.2,19.4,0.45,23,Med
Feb,1,Velachery,30.25,4.43,54.1,2.2,10.1,0.98,5,Med
Feb,1,Adyar,19.67,1.36,49.7,1.0,4.0,2.41,2,Med
Feb,1,Ambattur,61.77,12.47,70.2,4.7,22.9,0.17,25,High
Feb,1,Nungambakkam,19.21,2.13,49.6,1.3,6.5,1.81,3,Low
Feb,1,Perambur,46.44,5.84,56.8,3.2,14.2,0.52,14,Med
Feb,1,Mylapore,22.23,3.18,54.4,1.5,6.9,1.61,5,Low
Feb,1,Sholinganallur,33.02,4.82,57.0,2.1,11.7,0.94,10,Med
Feb,1,Tondiarpet,48.81,10.27,66.4,3.7,21.4,0.28,22,High
Feb,1,Anna Nagar,21.64,1.88,52.8,1.1,5.2,1.87,2,Low
Feb,1,Chromepet,37.95,5.57,54.5,2.5,12.8,0.68,10,Med
Feb,1,Kodambakkam,32.91,4.76,59.0,2.2,10.7,0.95,6,Med
Feb,2,Korattur,50.72,7.91,65.1,3.4,16.7,0.4,20,High
Feb,2,Velachery,28.82,4.29,53.8,1.7,9.8,1.25,6,Med
Feb,2,Adyar,16.85,1.4,51.3,0.8,3.7,2.12,2,Low
Feb,2,Ambattur,62.63,9.85,60.8,5.4,26.8,0.19,35,High
Feb,2,Nungambakkam,23.82,2.09,52.2,1.3,6.0,1.59,3,Med
Feb,2,Perambur,40.68,7.07,64.3,3.0,15.8,0.56,12,Med
Feb,2,Mylapore,25.88,2.95,49.3,1.1,6.5,1.96,5,Low
Feb,2,Sholinganallur,29.59,4.11,58.4,2.7,11.2,0.78,10,Med
Feb,2,Tondiarpet,57.04,8.87,64.7,3.7,19.9,0.29,22,High
Feb,2,Anna Nagar,20.03,1.68,52.7,1.1,4.7,2.31,2,Low
Feb,2,Chromepet,40.11,5.14,60.5,2.3,12.1,0.78,11,Low
Feb,2,Kodambakkam,32.31,3.69,54.3,1.9,10.9,0.83,8,Med
Feb,3,Korattur,48.97,9.82,58.7,3.7,18.2,0.48,18,High
Feb,3,Velachery,26.85,3.15,51.4,2.0,8.6,1.27,5,Med
Feb,3,Adyar,17.37,1.54,51.4,0.8,4.1,2.39,3,Low
Feb,3,Ambattur,63.12,9.25,67.4,4.8,25.9,0.17,26,High
Feb,3,Nungambakkam,23.0,2.5,47.7,1.0,6.5,2.16,4,Low
Feb,3,Perambur,46.56,6.35,61.7,3.0,15.2,0.53,13,Med
Feb,3,Mylapore,26.88,2.85,52.2,1.6,7.4,1.42,5,Low
Feb,3,Sholinganallur,32.37,4.32,59.8,2.1,12.0,1.05,9,High
Feb,3,Tondiarpet,45.41,11.34,62.7,4.4,19.5,0.3,26,High
Feb,3,Anna Nagar,18.63,2.05,51.9,1.1,5.5,2.42,3,Low
Feb,3,Chromepet,34.64,5.32,54.8,2.9,14.3,0.66,9,Med
Feb,3,Kodambakkam,34.82,3.71,55.7,2.4,10.6,0.93,9,Med
Feb,4,Korattur,49.89,7.23,57.5,3.0,18.7,0.36,24,High
Feb,4,Velachery,28.25,3.32,58.6,2.0,9.5,1.03,5,Med
Feb,4,Adyar,18.76,1.67,51.8,1.0,4.2,2.13,2,Low
Feb,4,Ambattur,60.82,12.3,60.1,5.3,25.2,0.21,25,High
Feb,4,Nungambakkam,24.49,1.99,54.8,1.3,6.0,1.84,3,Low
Feb,4,Perambur,41.4,7.38,63.3,2.8,14.1,0.61,15,Med
Feb,4,Mylapore,24.54,3.11,54.0,1.3,6.6,1.43,6,Low
Feb,4,Sholinganallur,37.31,4.2,59.0,2.6,10.8,0.79,10,Med
Feb,4,Tondiarpet,55.67,10.74,64.2,4.1,21.1,0.33,26,Med
Feb,4,Anna Nagar,18.93,1.78,49.1,0.8,5.3,2.2,2,Low
Feb,4,Chromepet,33.66,5.37,60.8,3.0,13.7,0.82,12,Med
Feb,4,Kodambakkam,35.19,3.61,52.5,1.7,9.7,1.15,8,Med
Feb,5,Korattur,50.52,7.87,58.1,3.0,19.3,0.38,23,High
Feb,5,Velachery,27.46,3.49,58.2,1.8,9.8,1.16,7,Med
Feb,5,Adyar,20.5,1.43,51.8,0.9,3.9,1.93,3,Low
Feb,5,Ambattur,51.06,10.85,66.0,5.3,24.3,0.19,32,High
Feb,5,Nungambakkam,22.36,2.24,48.4,1.3,5.5,1.76,4,Low
Feb,5,Perambur,45.14,6.91,62.7,2.5,15.7,0.64,13,Low
Feb,5,Mylapore,21.71,2.99,55.0,1.7,7.7,1.91,5,Low
Feb,5,Sholinganallur,28.65,4.98,54.6,2.6,10.8,0.77,9,Med
Feb,5,Tondiarpet,44.35,8.11,67.8,3.8,20.5,0.31,24,High
Feb,5,Anna Nagar,18.16,2.16,49.9,1.1,4.8,2.49,3,Low
Feb,5,Chromepet,33.68,6.23,55.5,2.1,13.3,0.69,12,Med
Feb,5,Kodambakkam,30.44,4.29,58.5,2.1,10.4,0.84,7,Med
Feb,6,Korattur,41.44,7.21,61.7,2.7,17.4,0.44,19,High
Feb,6,Velachery,25.23,3.67,51.6,1.9,9.4,1.21,5,Med
Feb,6,Adyar,18.42,1.49,47.3,1.0,4.1,2.45,3,Low
Feb,6,Ambattur,64.06,10.65,64.3,4.0,24.7,0.24,32,High
Feb,6,Nungambakkam,20.65,1.77,47.6,1.0,6.2,1.93,4,Low
Feb,6,Perambur,36.49,7.49,64.1,3.1,15.2,0.73,13,Med
Feb,6,Mylapore,27.9,3.36,56.0,1.4,7.4,1.68,4,Low
Feb,6,Sholinganallur,37.6,3.78,53.8,2.4,10.8,1.06,10,Med
Feb,6,Tondiarpet,54.57,9.25,61.6,3.3,20.0,0.3,28,High
Feb,6,Anna Nagar,20.27,1.78,53.1,0.9,4.7,2.34,3,Low
Feb,6,Chromepet,32.35,6.09,58.0,2.6,13.1,0.85,12,Med
Feb,6,Kodambakkam,35.06,4.64,58.1,2.4,10.2,1.02,9,Med
Feb,7,Korattur,41.66,8.83,57.4,3.6,18.4,0.45,23,High
Feb,7,Velachery,33.62,4.28,55.2,2.0,9.4,1.09,6,Med
Feb,7,Adyar,19.26,1.5,46.2,1.0,4.4,2.45,2,Med
Feb,7,Ambattur,56.19,11.1,65.2,4.0,25.7,0.19,28,High
Feb,7,Nungambakkam,22.49,2.18,50.0,1.4,5.6,1.89,4,Low
Feb,7,Perambur,41.8,6.48,64.8,3.2,13.8,0.59,11,Med
Feb,7,Mylapore,27.99,3.27,57.0,1.5,7.7,1.78,5,Low
Feb,7,Sholinganallur,32.05,5.13,60.0,2.5,10.8,1.02,9,Med
Feb,7,Tondiarpet,48.91,9.52,59.2,4.1,18.4,0.29,26,High
Feb,7,Anna Nagar,20.69,1.75,46.8,1.2,5.1,2.42,3,Low
Feb,7,Chromepet,34.01,4.72,54.6,2.9,12.5,0.92,9,Med
Feb,7,Kodambakkam,34.06,3.41,57.3,2.2,9.4,1.18,8,Med
Feb,8,Korattur,48.0,9.76,57.3,3.5,18.6,0.4,22,Med
Feb,8,Velachery,32.07,4.33,56.8,1.6,9.8,0.94,6,Med
Feb,8,Adyar,17.38,1.62,48.3,1.0,4.2,2.11,2,Low
Feb,8,Ambattur,52.64,12.45,61.5,4.8,26.4,0.21,34,High
Feb,8,Nungambakkam,21.19,2.32,51.4,1.1,5.8,2.1,4,Med
Feb,8,Perambur,37.21,7.46,64.8,2.6,15.4,0.65,15,Med
Feb,8,Mylapore,25.98,3.05,56.8,1.6,7.4,2.01,5,Low
Feb,8,Sholinganallur,32.88,3.78,53.5,2.1,10.2,0.76,8,Med
Feb,8,Tondiarpet,58.4,10.33,59.7,3.2,21.6,0.27,25,High
Feb,8,Anna Nagar,20.11,1.91,51.4,1.1,4.8,2.27,2,Low
Feb,8,Chromepet,39.99,5.68,59.9,2.1,12.9,0.79,12,Med
Feb,8,Kodambakkam,36.04,3.42,58.3,1.8,10.9,1.17,7,Med
Feb,9,Korattur,49.86,8.99,60.9,3.3,19.2,0.36,23,High
Feb,9,Velachery,29.13,4.43,51.3,2.2,9.6,0.95,5,Med
Feb,9,Adyar,17.06,1.25,51.7,0.7,4.0,2.76,2,Med
Feb,9,Ambattur,57.73,12.33,66.6,5.2,23.5,0.23,31,High
Feb,9,Nungambakkam,23.84,2.16,54.7,1.2,6.5,1.67,4,Low
Feb,9,Perambur,39.93,7.89,61.8,2.8,14.7,0.72,14,Med
Feb,9,Mylapore,25.97,3.23,54.3,1.2,6.9,1.55,5,Low
Feb,9,Sholinganallur,31.07,3.83,60.6,2.1,11.9,0.78,8,Med
Feb,9,Tondiarpet,43.73,9.75,66.0,3.9,20.4,0.3,23,High
Feb,9,Anna Nagar,19.3,1.56,46.8,1.2,5.4,2.17,3,Low
Feb,9,Chromepet,38.15,4.76,59.9,2.9,12.5,0.92,12,Med
Feb,9,Kodambakkam,31.01,4.55,52.3,2.2,9.2,1.11,6,Med
Feb,10,Korattur,43.31,7.62,57.9,3.6,19.9,0.39,21,High
Feb,10,Velachery,27.95,3.62,51.7,1.5,9.6,0.93,6,Med
Feb,10,Adyar,20.28,1.35,49.0,0.8,4.2,2.45,2,Med
Feb,10,Ambattur,54.1,12.52,60.4,4.0,23.1,0.22,33,High
Feb,10,Nungambakkam,21.06,2.25,49.4,1.4,6.7,2.22,4,Med
Feb,10,Perambur,35.69,7.87,56.7,2.4,15.5,0.59,14,Med
Feb,10,Mylapore,23.28,3.22,55.0,1.3,7.7,1.98,4,Low
Feb,10,Sholinganallur,34.84,4.18,53.6,2.4,11.4,0.75,10,Low
Feb,10,Tondiarpet,53.21,8.2,65.0,3.5,19.2,0.32,29,High
Feb,10,Anna Nagar,21.45,1.66,48.3,0.8,4.8,2.13,2,Low
Feb,10,Chromepet,38.85,4.64,58.8,2.9,14.5,0.71,10,Med
Feb,10,Kodambakkam,33.63,4.29,54.1,1.9,10.6,0.95,8,Med
Feb,11,Korattur,51.89,8.32,58.3,3.4,16.8,0.37,23,High
Feb,11,Velachery,26.89,4.09,56.2,2.0,9.9,1.28,6,Med
Feb,11,Adyar,18.79,1.57,46.7,0.8,3.9,2.72,3,Low
Feb,11,Ambattur,50.19,10.79,69.4,4.8,26.2,0.17,30,High
Feb,11,Nungambakkam,21.52,1.76,48.9,1.4,6.7,2.08,4,Low
Feb,11,Perambur,37.54,7.1,60.8,3.4,14.2,0.67,16,Med
Feb,11,Mylapore,27.5,2.67,51.0,1.3,7.4,1.75,5,Low
Feb,11,Sholinganallur,37.88,5.22,52.9,2.4,10.3,1.09,9,Med
Feb,11,Tondiarpet,54.7,9.96,64.0,3.7,19.9,0.32,29,High
Feb,11,Anna Nagar,18.88,2.15,47.8,1.0,5.4,2.01,3,Low
Feb,11,Chromepet,31.28,6.03,57.6,2.3,13.3,0.74,9,Med
Feb,11,Kodambakkam,32.59,4.55,57.5,2.0,9.8,0.86,8,Med
Feb,12,Korattur,49.25,8.81,61.3,2.8,17.0,0.42,18,High
Feb,12,Velachery,33.05,3.29,52.1,2.1,9.2,1.08,7,Med
Feb,12,Adyar,20.44,1.55,51.5,1.1,3.9,2.45,3,Low
Feb,12,Ambattur,51.38,10.86,61.5,4.7,25.8,0.21,30,High
Feb,12,Nungambakkam,23.69,2.47,51.8,1.0,6.0,1.65,3,Low
Feb,12,Perambur,46.96,7.4,63.3,3.1,14.3,0.71,14,Med
Feb,12,Mylapore,25.74,3.23,49.6,1.5,7.7,1.76,4,Med
Feb,12,Sholinganallur,35.46,4.48,56.4,2.6,11.7,0.89,10,Med
Feb,12,Tondiarpet,55.11,9.17,66.3,4.5,21.8,0.32,24,High
Feb,12,Anna Nagar,22.03,2.11,46.6,1.1,5.1,1.93,2,Low
Feb,12,Chromepet,31.29,5.35,58.3,2.4,12.5,0.92,10,Med
Feb,12,Kodambakkam,30.92,4.21,54.0,2.1,10.3,1.07,9,Med
Feb,13,Korattur,43.68,8.52,62.8,2.8,18.6,0.41,25,High
Feb,13,Velachery,32.01,3.64,51.9,2.1,8.5,1.0,6,High
Feb,13,Adyar,16.79,1.38,47.7,0.9,4.2,2.54,2,Med
Feb,13,Ambattur,47.77,9.57,61.6,5.4,24.2,0.17,27,High
Feb,13,Nungambakkam,19.33,2.05,55.0,1.3,6.2,2.1,4,Med
Feb,13,Perambur,45.84,7.29,59.6,2.6,15.8,0.69,13,Med
Feb,13,Mylapore,26.26,2.97,50.8,1.2,6.5,1.55,4,Low
Feb,13,Sholinganallur,38.68,5.05,55.8,2.1,11.4,0.92,9,Med
Feb,13,Tondiarpet,44.73,8.94,66.6,4.5,19.8,0.36,23,High
Feb,13,Anna Nagar,18.53,2.12,50.6,0.9,5.0,1.8,2,Low
Feb,13,Chromepet,41.64,5.88,62.4,2.9,14.1,0.84,12,Low
Feb,13,Kodambakkam,34.18,4.46,60.2,2.0,10.1,1.06,6,Med
Feb,14,Korattur,41.72,8.77,67.1,3.4,17.4,0.38,24,High
Feb,14,Velachery,25.23,4.23,52.9,1.5,9.5,1.27,5,Low
Feb,14,Adyar,17.33,1.28,49.5,0.8,4.3,2.75,2,Low
Feb,14,Ambattur,51.64,10.18,62.8,4.1,26.1,0.23,29,High
Feb,14,Nungambakkam,19.88,1.82,54.7,1.2,5.5,2.21,4,Low
Feb,14,Perambur,40.2,6.48,64.0,3.4,15.5,0.56,12,Med
Feb,14,Mylapore,25.59,2.85,55.2,1.2,7.2,1.68,5,Low
Feb,14,Sholinganallur,32.12,5.19,59.6,2.2,10.4,0.92,8,Med
Feb,14,Tondiarpet,53.66,9.27,59.2,3.7,21.9,0.27,23,High
Feb,14,Anna Nagar,23.21,1.73,47.5,1.0,5.0,2.36,2,Low
Feb,14,Chromepet,36.18,5.44,62.6,2.7,14.1,0.89,12,Med
Feb,14,Kodambakkam,35.0,3.63,58.8,2.2,10.1,0.82,7,Med
Feb,15,Korattur,53.6,8.76,62.6,2.9,18.3,0.37,24,High
Feb,15,Velachery,26.02,3.32,52.6,1.7,9.8,0.94,6,Med
Feb,15,Adyar,17.59,1.46,51.4,0.9,4.0,2.21,3,Low
Feb,15,Ambattur,57.39,11.83,65.7,5.5,23.4,0.19,30,High
Feb,15,Nungambakkam,22.08,1.82,51.9,1.2,6.7,2.22,4,Med
Feb,15,Perambur,40.84,7.22,59.3,3.4,14.0,0.57,13,Med
Feb,15,Mylapore,27.11,3.07,52.1,1.6,7.5,2.04,5,Low
Feb,15,Sholinganallur,33.16,4.04,60.4,1.9,10.6,0.83,9,Med
Feb,15,Tondiarpet,46.57,9.33,59.1,4.5,20.3,0.25,27,High
Feb,15,Anna Nagar,23.44,1.57,50.9,0.8,5.5,2.05,2,Low
Feb,15,Chromepet,36.09,4.59,58.4,2.2,12.0,0.77,12,Med
Feb,15,Kodambakkam,31.31,4.62,60.0,2.1,9.5,1.2,8,Med
Feb,16,Korattur,47.32,9.11,66.0,3.1,18.9,0.41,24,High
Feb,16,Velachery,27.16,3.22,53.4,1.8,8.6,0.9,6,Med
Feb,16,Adyar,16.36,1.32,49.2,1.0,4.1,2.59,2,Low
Feb,16,Ambattur,61.11,11.61,68.4,4.7,23.0,0.24,29,High
Feb,16,Nungambakkam,23.89,2.25,53.7,1.1,5.6,2.04,4,Low
Feb,16,Perambur,43.24,7.42,58.0,3.1,15.4,0.56,12,Med
Feb,16,Mylapore,22.72,2.54,52.7,1.4,7.4,1.73,4,Low
Feb,16,Sholinganallur,38.4,3.8,61.4,2.0,10.4,0.9,7,Med
Feb,16,Tondiarpet,43.58,8.7,62.4,4.3,20.4,0.29,27,High
Feb,16,Anna Nagar,17.83,2.0,47.1,0.9,5.0,2.18,2,Low
Feb,16,Chromepet,33.97,5.08,53.6,3.0,13.8,0.78,13,Med
Feb,16,Kodambakkam,36.31,3.64,58.2,1.7,10.5,0.9,7,Low
Feb,17,Korattur,43.03,9.05,64.7,3.2,17.0,0.4,19,High
Feb,17,Velachery,25.61,4.0,59.2,1.6,9.1,0.9,6,Med
Feb,17,Adyar,17.79,1.3,52.6,0.9,4.2,2.52,2,Low
Feb,17,Ambattur,51.87,11.22,67.2,4.3,26.8,0.23,25,High
Feb,17,Nungambakkam,20.11,2.17,47.8,1.2,5.9,1.98,4,Low
Feb,17,Perambur,46.74,7.52,55.6,2.8,16.0,0.55,11,Med
Feb,17,Mylapore,25.95,3.0,53.0,1.5,7.2,1.61,5,Low
Feb,17,Sholinganallur,34.66,5.19,54.0,2.3,11.1,1.04,9,Med
Feb,17,Tondiarpet,55.22,9.71,65.6,4.5,20.9,0.29,26,High
Feb,17,Anna Nagar,17.73,2.14,52.5,0.9,5.3,2.37,2,Low
Feb,17,Chromepet,35.73,4.96,54.4,2.7,12.1,0.96,9,Med
Feb,17,Kodambakkam,27.89,3.63,51.9,2.2,10.0,1.02,8,Med
Feb,18,Korattur,41.45,7.52,64.4,2.5,19.9,0.43,24,High
Feb,18,Velachery,29.3,3.96,53.9,2.0,9.9,1.27,6,Med
Feb,18,Adyar,19.0,1.44,50.8,1.0,3.7,2.08,3,Low
Feb,18,Ambattur,51.57,10.76,62.1,4.9,24.8,0.24,31,High
Feb,18,Nungambakkam,24.1,2.35,51.6,1.3,6.4,1.88,3,Low
Feb,18,Perambur,42.45,6.95,61.7,3.0,15.6,0.72,16,Med
Feb,18,Mylapore,29.3,3.33,52.3,1.5,7.6,1.61,4,Low
Feb,18,Sholinganallur,32.4,4.67,59.4,2.1,11.1,1.09,7,Med
Feb,18,Tondiarpet,47.7,8.0,59.5,4.5,18.4,0.37,22,High
Feb,18,Anna Nagar,22.06,2.13,52.6,1.2,5.1,2.2,3,Low
Feb,18,Chromepet,36.28,4.65,56.0,3.0,12.6,0.74,10,Med
Feb,18,Kodambakkam,32.28,3.66,52.3,1.9,10.2,1.02,9,Med
Feb,19,Korattur,52.54,7.15,63.6,2.6,19.5,0.39,23,Med
Feb,19,Velachery,28.11,4.29,54.5,2.1,8.5,1.24,6,Med
Feb,19,Adyar,20.72,1.5,50.0,0.8,4.1,2.18,3,Low
Feb,19,Ambattur,59.43,9.82,67.1,5.5,26.8,0.22,31,High
Feb,19,Nungambakkam,21.98,2.36,48.1,1.1,6.1,2.13,4,Low
Feb,19,Perambur,40.55,6.77,62.1,3.3,15.2,0.54,13,Med
Feb,19,Mylapore,25.97,3.49,53.2,1.3,6.8,1.69,5,Low
Feb,19,Sholinganallur,29.75,4.45,55.9,2.0,10.9,0.98,10,Med
Feb,19,Tondiarpet,48.7,10.81,66.3,4.1,20.2,0.36,23,High
Feb,19,Anna Nagar,18.29,1.99,46.7,1.1,4.8,2.25,2,Low
Feb,19,Chromepet,34.38,5.0,61.0,2.4,13.2,0.76,12,Med
Feb,19,Kodambakkam,32.06,4.45,56.5,2.1,11.2,1.1,8,Med
Feb,20,Korattur,53.78,8.44,59.8,2.6,17.3,0.44,19,High
Feb,20,Velachery,33.53,3.19,56.5,2.0,9.9,1.06,5,Med
Feb,20,Adyar,20.47,1.37,52.7,0.9,4.2,2.72,3,Low
Feb,20,Ambattur,49.17,10.0,70.2,4.7,25.5,0.17,35,High
Feb,20,Nungambakkam,22.37,2.33,47.1,1.3,5.9,1.78,4,Med
Feb,20,Perambur,39.01,5.84,57.9,2.8,16.8,0.73,16,High
Feb,20,Mylapore,22.84,3.38,54.4,1.2,7.0,2.05,5,Low
Feb,20,Sholinganallur,30.91,4.16,54.0,2.7,12.1,0.86,9,Med
Feb,20,Tondiarpet,45.47,9.83,66.3,4.4,19.6,0.33,25,High
Feb,20,Anna Nagar,23.43,2.15,47.1,1.2,5.5,1.99,3,Med
Feb,20,Chromepet,32.52,4.96,61.7,2.8,14.0,0.94,10,Med
Feb,20,Kodambakkam,31.08,4.72,59.6,2.4,9.7,1.13,7,Med
Feb,21,Korattur,51.71,8.7,59.9,3.2,17.4,0.36,22,High
Feb,21,Velachery,31.25,3.74,55.1,1.9,9.6,1.07,6,Med
Feb,21,Adyar,16.36,1.27,45.3,1.0,3.7,2.13,2,Low
Feb,21,Ambattur,64.32,12.26,60.8,5.4,26.9,0.23,30,High
Feb,21,Nungambakkam,22.15,1.95,50.2,1.0,6.4,1.85,3,Low
Feb,21,Perambur,44.86,7.17,60.4,3.4,16.2,0.62,14,Med
Feb,21,Mylapore,22.0,3.49,53.2,1.4,7.5,1.77,5,Low
Feb,21,Sholinganallur,29.11,4.24,56.2,2.1,12.0,0.9,8,Med
Feb,21,Tondiarpet,44.18,9.75,59.6,4.4,20.2,0.33,21,High
Feb,21,Anna Nagar,23.08,1.97,47.1,1.0,5.0,1.87,3,Low
Feb,21,Chromepet,33.44,5.22,55.8,2.8,14.3,0.91,12,Med
Feb,21,Kodambakkam,27.96,4.01,54.9,2.1,10.0,1.14,8,Low
Feb,22,Korattur,48.66,6.99,58.9,3.0,19.7,0.47,18,High
Feb,22,Velachery,31.97,3.16,53.4,2.0,10.0,1.03,5,Med
Feb,22,Adyar,20.9,1.17,51.0,0.7,4.1,2.34,3,Low
Feb,22,Ambattur,55.99,10.08,67.0,4.5,24.2,0.21,25,High
Feb,22,Nungambakkam,20.95,2.24,53.6,1.1,5.7,1.59,3,Low
Feb,22,Perambur,35.95,7.13,61.2,2.8,14.0,0.52,16,Med
Feb,22,Mylapore,23.85,3.13,54.7,1.5,7.2,2.06,5,Low
Feb,22,Sholinganallur,28.97,5.03,55.5,2.6,11.9,1.01,10,Med
Feb,22,Tondiarpet,50.55,8.37,66.9,3.6,20.1,0.27,22,High
Feb,22,Anna Nagar,20.84,2.15,50.2,0.8,5.3,2.23,3,Low
Feb,22,Chromepet,35.92,5.97,55.9,2.6,13.6,0.96,11,Med
Feb,22,Kodambakkam,33.79,4.08,58.9,2.4,9.7,0.93,7,Med
Feb,23,Korattur,47.43,9.26,64.6,2.8,18.8,0.39,17,High
Feb,23,Velachery,32.3,3.38,56.3,2.0,8.7,0.93,5,Med
Feb,23,Adyar,19.83,1.23,47.6,0.9,4.1,2.78,3,Low
Feb,23,Ambattur,61.72,12.93,65.1,4.5,22.2,0.17,26,High
Feb,23,Nungambakkam,24.9,2.45,50.7,1.4,6.6,1.59,4,Low
Feb,23,Perambur,44.06,7.07,55.5,3.0,14.8,0.71,15,Med
Feb,23,Mylapore,22.82,3.32,51.7,1.4,7.2,1.5,5,Low
Feb,23,Sholinganallur,29.79,5.06,55.4,2.6,11.7,0.83,7,Med
Feb,23,Tondiarpet,49.04,10.84,61.2,3.9,19.1,0.29,21,High
Feb,23,Anna Nagar,17.91,1.84,52.4,1.2,4.8,2.01,3,Low
Feb,23,Chromepet,34.63,4.97,60.6,2.1,14.5,0.82,13,Med
Feb,23,Kodambakkam,27.22,3.91,59.4,1.7,9.8,0.83,9,Med
Feb,24,Korattur,45.54,9.54,58.3,3.5,19.3,0.33,23,High
Feb,24,Velachery,27.01,3.37,53.2,1.9,9.7,1.2,5,Med
Feb,24,Adyar,16.24,1.66,49.4,0.8,4.1,2.39,2,Med
Feb,24,Ambattur,61.22,11.52,61.9,4.2,26.4,0.21,25,High
Feb,24,Nungambakkam,25.15,1.8,50.0,1.0,6.0,2.1,4,Low
Feb,24,Perambur,44.21,6.8,58.8,2.8,14.4,0.68,15,Med
Feb,24,Mylapore,28.73,3.24,53.6,1.2,7.6,1.87,4,Low
Feb,24,Sholinganallur,35.12,5.03,56.9,2.6,10.4,1.06,8,Med
Feb,24,Tondiarpet,46.16,11.15,61.5,4.4,19.7,0.3,21,High
Feb,24,Anna Nagar,20.27,2.06,48.2,1.0,5.2,2.15,2,Low
Feb,24,Chromepet,32.39,5.41,54.1,2.4,13.2,0.85,10,Med
Feb,24,Kodambakkam,28.39,4.05,52.2,1.8,10.6,0.99,9,Med
Feb,25,Korattur,45.67,8.95,59.0,3.4,19.2,0.44,24,High
Feb,25,Velachery,30.43,3.54,51.5,1.8,8.8,1.08,6,Med
Feb,25,Adyar,18.89,1.59,47.6,1.0,3.7,2.08,2,Low
Feb,25,Ambattur,60.39,12.47,68.0,4.9,24.2,0.19,31,High
Feb,25,Nungambakkam,20.46,2.43,49.4,1.4,6.3,2.26,4,Low
Feb,25,Perambur,47.03,8.16,61.0,3.1,15.3,0.7,16,Med
Feb,25,Mylapore,28.57,3.46,48.8,1.5,7.8,1.46,4,Low
Feb,25,Sholinganallur,32.97,4.74,58.3,2.4,11.0,0.89,8,Med
Feb,25,Tondiarpet,45.48,9.88,66.7,3.7,20.1,0.28,28,High
Feb,25,Anna Nagar,17.41,1.93,47.1,1.2,5.3,2.55,2,Low
Feb,25,Chromepet,40.09,5.99,61.8,2.8,14.4,0.86,11,Med
Feb,25,Kodambakkam,34.66,3.91,53.6,2.0,9.2,1.02,8,Med
Feb,26,Korattur,44.62,9.65,63.0,2.6,16.7,0.41,20,High
Feb,26,Velachery,33.68,3.2,57.1,1.9,9.8,1.23,5,Med
Feb,26,Adyar,18.49,1.48,47.0,1.0,4.2,2.5,3,Low
Feb,26,Ambattur,57.44,11.68,69.5,4.7,22.1,0.2,35,High
Feb,26,Nungambakkam,21.31,2.03,54.9,1.1,5.7,2.09,4,Low
Feb,26,Perambur,45.4,6.34,61.4,3.0,15.5,0.65,13,Med
Feb,26,Mylapore,21.88,2.94,49.9,1.2,7.5,1.56,5,Low
Feb,26,Sholinganallur,31.21,4.99,58.1,2.6,11.8,0.98,8,Med
Feb,26,Tondiarpet,55.32,8.77,60.0,3.9,18.5,0.37,29,High
Feb,26,Anna Nagar,22.37,2.06,52.0,1.0,5.0,2.28,3,Low
Feb,26,Chromepet,37.58,5.96,54.0,2.3,14.1,0.67,11,Med
